route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
3026_40268,7778268,DK01,"Dunshaughlin (Euromart Shop) - Dundalk, DkIT Dublin Road",,3,,,
3094_40326,7778254,UM08,"Dundrum, Upper Churchtown Road (Notre Dame School) - University Campus",,3,,,
3616_54282,7778229,180,Clones - Dublin (Belfield),,3,,,
3826_51300,7778193,UM11,Gorey - Wicklow - Maynooth,,3,,,
4127_35241,7778225,741,"Dublin Airport - Swords, Premier Inn",,3,,,
4127_68786,7778225,193,Ratoath - Dublin City,,3,,,
4127_68787,7778225,194,Ratoath - Dublin City,,3,,,
4194_46238,7778230,164,Sydney Parade DART Station - UCD,,3,,,
4246_40618,7778066,501X,"Swords, Pavilions Shopping Centre - Dublin, Marlborough Street",,3,,,
4246_40622,7778066,504,"Rathingle, Boroimhe Estate - Dublin, Marlborough Street",,3,,,
4246_59686,7778066,500N,"Dublin, Eden Quay - Swords Manor Brackenstown Road Swords",,3,,,
4246_63368,7778066,500,Swords - Dublin City,,3,,,
4246_63371,7778066,507,Swords - Dublin City,,3,,,
4246_63372,7778066,505,"Rathingle, Rathingle Road - Dublin, Marlborough Street",,3,,,
4246_63373,7778066,500X,"Abbeyvale Brackenstown Road - Dublin, Marlborough Street",,3,,,
4246_63374,7778066,502,"Swords, Forest Road - Dublin, Marlborough Street",,3,,,
4246_63375,7778066,506X,"Broadmeadow, Miller's Glen - Dublin, Marlborough Street",,3,,,
4246_63376,7778066,503,Abbeyvale Brackenstown Road - Merrion Square South,,3,,,
4246_63377,7778066,501,"Swords, Pavilions Shopping Centre - Dublin, Marlborough Street",,3,,,
4246_63378,7778066,505X,"Dublin, Eden Quay - Malahide Road (Pavilions)",,3,,,
4246_63379,7778066,506,"Dublin, Eden Quay - Swords Manor Brackenstown Road Swords",,3,,,
4248_40297,7778255,UM03,Hill Street Dundalk - University Campus,,3,,,
4255_35218,7778196,901D,Marshes Shopping Centre - The Helix,,3,,,
4255_35219,7778196,901M,"Monasterboice (Monasterboice Inn) - Trinity College, South Frederick's Street",,3,,,
4255_64648,7778196,912,Grange Rath - Dublin City,,3,,,
4255_65817,7778196,904,"Dundalk - Belfield, Dublin",,3,,,
4255_66629,7778196,901,Dundalk - Dublin,,3,,,
4255_67656,7778196,910,Grange Rath - Dublin City,,3,,,
4255_75728,7778196,900,Dundalk - Dublin,,3,,,
4275_36296,7778198,933,Main Street Moville - Tourist Information O'Connell Street,,3,,,
4275_77178,7778198,932,Annagry - Dublin City,,3,,,
4307_77791,7778269,BI01,TU Dublin Shuttle Bus,,3,,,
4397_36463,7778155,726,Laois Shopping Centre - Dublin Airport,,3,,,
4397_51295,7778155,600,Cork City - Dublin City,,3,,,
4397_68765,7778155,750,Dundrum - Dublin Airport,,3,,,
4397_70766,7778155,300,Kerry / Clare - Dublin,,3,,,
4419_48886,7778014,Green,Parnell - Brides Glen,,0,,,
4419_48887,7778014,Red,The Point - Tallaght,,0,,,
4452_86261,7778017,rail,Dublin - Belfast,,2,,,
4452_86262,7778017,rail,Belfast - Dublin,,2,,,
4452_86263,7778017,InterCity,Dublin - Cork,,2,,,
4452_86265,7778017,rail,Dublin - Tralee,,2,,,
4452_86267,7778017,rail,Dublin - Limerick,,2,,,
4452_86274,7778017,rail,Dublin - Waterford,,2,,,
4452_86277,7778017,rail,Dublin - Europort,,2,,,
4452_86279,7778017,rail,Dublin - Galway,,2,,,
4452_86280,7778017,rail,Dublin - Westport,,2,,,
4452_86283,7778017,rail,Dublin - Sligo,,2,,,
4452_86285,7778017,Commuter,Dublin - Portlaoise,,2,,,
4452_86286,7778017,rail,Dublin - Maynooth,,2,,,
4452_86288,7778017,rail,Dublin - Drogheda/Dundalk,,2,,,
4452_86289,7778017,DART,Bray - Howth,,2,,,
4463_75999,7778026,198,Navan - Dublin City,,3,,,
4465_46239,7778100,KL03,Santry - Keelings Retail UC,,3,,,
4521_90027,7778094,181,Glendalough - Dublin City,,3,,,
4542_84824,7778153,980A,Carrickmacross - Dublin City,,3,,,
4542_84825,7778153,980B,Carrickmacross - Dublin City,,3,,,
4542_91937,7778153,980,Carrickmacross - Dublin City,,3,,,
4558_71840,7778048,847,Portumna - Dublin,,3,,,
4558_92181,7778048,845,Birr - Dublin,,3,,,
4586_37963,7778036,836,"Dublin, Millennium Spire - Corduff (Fingal), Cruiserath Road",,3,,,
4586_46124,7778036,787,"Ballymun, Travelodge Hotel - Dublin Airport",,3,,,
4586_47272,7778036,870,O'Connell Street Upper - Damastown IBM,,3,,,
4586_74628,7778036,860,Aston Quay - Park West,,3,,,
4586_92217,7778036,786,Dublin Airport Hilton Hotel - Dublin Airport,,3,,,
4603_94286,7778193,740,Wexford - Dublin Airport,,3,,,
4603_94287,7778193,740A,Gorey - Dublin Airport,,3,,,
4603_94289,7778193,740X,Wexford - Dublin Airport,,3,,,
4606_94420,7778352,KL04,Tyrrelstown - Keelings Flowers Food Central,,3,,,
4606_94421,7778352,KL01,Phibsborough - Keelings Retail UC,,3,,,
4608_94475,7778024,705x,Dublin City - Derry/Londonderry,,3,,,
4608_94476,7778024,702,Dublin Airport - Dalkey,,3,,,
4608_94477,7778024,700,Dublin Airport - Leopardstown,,3,,,
4608_94478,7778024,700X,Dublin Airport - Leopardstown,,3,,,
4609_94479,7778108,785,Belfast - Dublin,,3,,,
4609_94480,7778108,783,Dublin Airport - Terenure,,3,,,
4609_94481,7778108,782,Dublin Airport - Dublin City,,3,,,
4609_94482,7778108,784,Dublin Airport - Dublin City,,3,,,
4611_94517,7778002,29n,"Dublin City South, D'Olier Street - Baldoyle, Warrenhouse Road",,3,,,
4611_94518,7778002,31n,"Dublin City South, D'Olier Street - Howth, Outside Train Station",,3,,,
4611_94519,7778002,33n,Westmoreland Street - Balbriggan,,3,,,
4611_94520,7778002,42n,"Dublin City South, D'Olier Street - Portmarnock, Strand Road (St.Anne's Estate)",,3,,,
4611_94521,7778002,46n,"Dublin City South, D'Olier Street - Dundrum, Outside Luas Station",,3,,,
4611_94522,7778002,69n,"Dublin City South, Westmoreland Street - Saggart, Citywest Golf Club",,3,,,
4611_94523,7778002,70n,Westmoreland Street - Tyrrelstown,,3,,,
4611_94524,7778002,77n,D'Olier Street - Citywest,,3,,,
4611_94525,7778002,88n,"Dublin City South, Westmoreland Street - Ashbourne, Ashbourne Kelly's",,3,,,
4611_94526,7778002,49n,D'Olier Street - Kilnamanagh,,3,,,
4611_94527,7778002,7n,"Dublin City South, D'Olier Street - Dún Laoghaire-Rathdown, Woodbrook Golf Club",,3,,,
4611_94528,7778002,84n,"Dublin City South, D'Olier Street - Charlesland Road (Seaborne View Apts)",,3,,,
4653_77790,7778101,191,Stamullen - Dublin City,,3,,,
4660_98301,7778352,853,Dublin Port - Dublin City,,3,,,
4684_99506,7778000,712,Ennis - Dublin Airport,,3,,,
4684_99508,7778000,763,"Galway City, Coach Station (Fairgreen Rd) - Dublin",,3,,,
4684_99512,7778000,721,Castlebar - Dublin Airport,,3,,,
4684_99514,7778000,760,Galway - Dublin Airport,,3,,,
4684_99515,7778000,761,Galway - Dublin Airport,,3,,,
4684_99516,7778000,707,Cork - Dublin Airport,,3,,,
4692_99981,7778044,139,Blanchardstown - Naas,,3,,,
4692_99982,7778044,735,Limerick - Dublin Airport,,3,,,
4692_99983,7778044,736,Dublin Airport - Waterford,,3,,,
4692_99984,7778044,717,Clonmel - Dublin Airport,,3,,,
4700_100863,7778006,120,Dublin - Edenderry,,3,,,
4700_100864,7778006,125,UCD - Newbridge,,3,,,
4700_100865,7778006,126,Dublin - Rathangan,,3,,,
4700_100866,7778006,130,Dublin - Athy,,3,,,
4700_100867,7778006,120A,Dublin - Edenderry,,3,,,
4700_100868,7778006,120B,Dublin - Newbridge,,3,,,
4700_100871,7778006,120E,Dublin - Edenderry,,3,,,
4700_100872,7778006,120F,Connolly Station - Newbridge Centre,,3,,,
4700_100873,7778006,120X,Dublin - Edenderry,,3,,,
4700_100874,7778006,126A,Dublin - Kildare,,3,,,
4700_100875,7778006,126B,Dublin - Rathangan,,3,,,
4700_100876,7778006,126D,Dublin - Kildare,,3,,,
4700_100877,7778006,126E,Dublin - Kildare,,3,,,
4700_100878,7778006,126T,Dublin - Kildare,,3,,,
4700_100879,7778006,126U,Dublin UCD - Kildare,,3,,,
4700_100880,7778006,126N,Dublin - Newbridge,,3,,,
4700_100881,7778006,126X,Dublin - Rathangan,,3,,,
4700_100882,7778006,130A,Dublin - Athy,,3,,,
4702_101037,7778019,6,Howth Dart Stn - Lower Abbey Street,,3,,,
4702_101038,7778019,11B,Phoenix Park - Donnybrook,,3,,,
4702_101040,7778019,11,Phoenix Park - Sandyford Business District,,3,,,
4702_101041,7778019,13,Grange Castle - Harristown,,3,,,
4702_101042,7778019,14,Dundrum Luas Stn - Ardlea Rd (Beaumont),,3,,,
4702_101043,7778019,15,Ballycullen Road - Clongriffin,,3,,,
4702_101044,7778019,16,Ballinteer - Dublin Airport,,3,,,
4702_101045,7778019,16D,Airport - Beaumont Village - Ballinteer not,,3,,,
4702_101046,7778019,19,Parnell Square West - Dublin Airport,,3,,,
4702_101047,7778019,L53,Liffey Valley - Adamstown Stn,,3,,,
4702_101048,7778019,26,Fonthill Rd (Liffey Valley) - Merrion Square,,3,,,
4702_101049,7778019,27,Jobstown - Clare Hall,,3,,,
4702_101050,7778019,33,Balbriggan - Lower Abbey St,,3,,,
4702_101051,7778019,33D,Portrane - St Stephens Green,,3,,,
4702_101052,7778019,33E,Lwr Abbey St - Portrane - Skerries,,3,,,
4702_101053,7778019,37,Blanchardstown Shopping Centre - Wilton Terrace,,3,,,
4702_101054,7778019,38,Damastown - Burlington Road,,3,,,
4702_101055,7778019,70,Dunboyne - Burlington Rd,,3,,,
4702_101056,7778019,39,Ongar - Burlington Rd,,3,,,
4702_101057,7778019,40,Charlestown Shopping Centre - Earlsfort Terrace,,3,,,
4702_101058,7778019,40B,Toberburr - Parnel Street,,3,,,
4702_101059,7778019,40E,Broombridge Luas - Tyrrelstown,,3,,,
4702_101060,7778019,40D,Tyrrelstown - Parnell Street,,3,,,
4702_101061,7778019,41,Swords Manor - Lower Abbey Street,,3,,,
4702_101062,7778019,41D,Swords Business Park - Lwr Abbey St,,3,,,
4702_101063,7778019,42,Sand's Hotel Portmarnock - Eden Quay,,3,,,
4702_101064,7778019,43,Talbot Street - Swords Business Park,,3,,,
4702_101065,7778019,44,Enniskerry - DCU,,3,,,
4702_101066,7778019,47,Poolbeg Street - Belarmine,,3,,,
4702_101067,7778019,49,Tallaght (The Square) - Pearse St,,3,,,
4702_101068,7778019,51D,Aston Quay - Clondalkin,,3,,,
4702_101069,7778019,52,Intel - Ringsend,,3,,,
4702_101070,7778019,53,Dublin Ferryport - Talbot St,,3,,,
4702_101071,7778019,54A,Ellensborough - Pearse St,,3,,,
4702_101072,7778019,56A,Tallaght - Ringsend Rd,,3,,,
4702_101073,7778019,60,Forbes Street - Tallaght,,3,,,
4702_101074,7778019,65A,Route 65A Tallaght Sq - Blessington,,3,,,
4702_101075,7778019,65B,Poolbeg Street - Citywest,,3,,,
4702_101076,7778019,65,Poolbeg Street - Blessington/Ballymore,,3,,,
4702_101077,7778019,69,Rathcoole - Hawkins St,,3,,,
4702_101078,7778019,69X,Rathcoole - Hawkins St,,3,,,
4702_101079,7778019,68,Newcastle / Greenogue Business Pk - Hawkins St,,3,,,
4702_101080,7778019,68A,Hawkins Street - Bulfin Road,,3,,,
4702_101081,7778019,74,Dundrum Luas - Eden Quay,,3,,,
4702_101082,7778019,77A,Citywest - Ringsend,,3,,,
4702_101083,7778019,83,Kimmage - Harristown,,3,,,
4702_101084,7778019,83A,Stannaway Ave - Harristown Bus Garage,,3,,,
4702_101085,7778019,99,Phoenix Park - Phoenix Park,,3,,,
4702_101086,7778019,116,Whitechurch - Parnell Square,,3,,,
4702_101087,7778019,118,Kilternan - Eden Quay,,3,,,
4702_101088,7778019,120,Ashtown Station - Parnell St,,3,,,
4702_101089,7778019,9,Limekiln Avenue - Charlestown,,3,,,
4702_101090,7778019,122,Drimnagh - Ashington,,3,,,
4702_101091,7778019,123,Marino - Walinstown (Kilnamanagh Rd),,3,,,
4702_101092,7778019,130,Talbot Street - Castle Avenue,,3,,,
4702_101093,7778019,38D,IBM Damastown via N3 - Burlington Rd,,3,,,
4702_101094,7778019,140,Palmerston Park - Ballymun (Ikea),,3,,,
4702_101095,7778019,1,Sandymount - O'Connell Street - Santry,,3,,,
4702_101096,7778019,142,Portmarnock - UCD (Belfield),,3,,,
4702_101097,7778019,44D,Dundrum - OCS,,3,,,
4702_101098,7778019,150,Rossmore - Hawkins Street,,3,,,
4702_101099,7778019,151,Foxborough (Balgaddy Rd) - Docklands (East Rd),,3,,,
4702_101100,7778019,P29,Adamstown Stn - Ringsend,,3,,,
4702_101101,7778019,X1,Kilcoole - Hawkins Street,,3,,,
4702_101102,7778019,X2,Newcastle - Hawkins Street,,3,,,
4702_101103,7778019,X25,Maynooth - Easton Rd - UCD,,3,,,
4702_101104,7778019,X26,Maynooth - Louisa Bridge - Leeson Street Lower,,3,,,
4702_101105,7778019,X27,Salesian College - Aghards Rd - UCD,,3,,,
4702_101106,7778019,X28,Salesian College - Celbridge Main St - UCD,,3,,,
4702_101107,7778019,X30,Dodsboro - UCD,,3,,,
4702_101108,7778019,X31,River Forest - Earlsfort Terrace,,3,,,
4702_101109,7778019,X32,Leixlip - Earlsfort Terrace,,3,,,
4702_101110,7778019,C1,Adamstown Stn - Sandymount,,3,,,
4702_101111,7778019,C2,Adamstown Stn - Sandymount,,3,,,
4702_101112,7778019,C3,Maynooth - Ringsend,,3,,,
4702_101113,7778019,C4,Maynooth - Ringsend,,3,,,
4702_101114,7778019,C6,Maynooth - Celbridge - Ringsend Night Service,,3,,,
4702_101115,7778019,C5,Maynooth - Ringsend Night Service,,3,,,
4702_101116,7778019,E1,Ballywaltrim - Northwood,,3,,,
4702_101117,7778019,E2,Dun Laoghaire - Harristown,,3,,,
4702_101118,7778019,G1,Red Cow LUAS - Spencer Dock,,3,,,
4702_101119,7778019,G2,Liffey Valley SC - Spencer Dock,,3,,,
4702_101120,7778019,H1,Baldoyle - Lower Abbey Street,,3,,,
4702_101121,7778019,H2,Malahide - Lower Abbey Street,,3,,,
4702_101122,7778019,H3,Howth Summit - Lower Abbey Street,,3,,,
4702_101123,7778019,N4,Blanchardstown - Point Village,,3,,,
4702_101124,7778019,S2,Sean Moore Road - Heuston Station,,3,,,
4702_101125,7778019,15A,Merrion Square - Limekiln Avenue,,3,,,
4702_101126,7778019,720,Watling Street - Heuston Station,,3,,,
4702_101127,7778019,27B,Eden Quay - Harristown,,3,,,
4702_101128,7778019,32X,UCD Belfield - Malahide,,3,,,
4702_101129,7778019,38A,Damastown via Navan Rd - Burlington Rd,,3,,,
4702_101130,7778019,39X,Ongar - Burlington Road,,3,,,
4702_101131,7778019,44B,Glencullen - Dundrum Luas,,3,,,
4702_101132,7778019,77X,Citywest - UCD Belfield,,3,,,
4702_101133,7778019,4,Monkstown Avenue - Heuston Station,,3,,,
4702_101134,7778019,7,Brides Glen Luas - Mountjoy Square,,3,,,
4702_101135,7778019,15B,Merrion Square - Stocking Avenue,,3,,,
4702_101136,7778019,15D,Merrion Square - Whitechurch,,3,,,
4702_101137,7778019,41B,Rolestown - Lower Abbey Street,,3,,,
4702_101138,7778019,41X,Swords - UCD Belfield,,3,,,
4702_101139,7778019,7A,Loughlinstown - Mountjoy Sq,,3,,,
4702_101140,7778019,7B,Shankill - Mountjoy Square,,3,,,
4702_101141,7778019,7D,Dalkey - Mountjoy Square,,3,,,
4702_101142,7778019,7E,Mountjoy Square - Dalkey,,3,,,
4702_101143,7778019,27X,Clare Hall - UCD Belfield,,3,,,
4702_101144,7778019,33X,Skerries - Custom House Quay / St Stephen Green,,3,,,
4702_101145,7778019,38B,Damastown via Ballycoolin Ind Est - Burlington Rd,,3,,,
4702_101146,7778019,39A,Ongar - UCD Belfield,,3,,,
4702_101147,7778019,41C,Swords Manor Via River Valley - Lower Abbey St,,3,,,
4702_101148,7778019,27A,Blunden Drive - Eden Quay,,3,,,
4702_101150,7778019,L14,Southern Cross Road - Palermo,,3,,,
4702_101151,7778019,L25,Dun Laoghaire - Dundrum Town Centre,,3,,,
4702_101152,7778019,L54,River Forest - Red Cow Luas,,3,,,
4703_101155,7778021,59,Dun Laoghaire - Killiney Hill Park,,3,,,
4703_101156,7778021,102,Dublin Airport - Sutton DART,,3,,,
4703_101157,7778021,104,Clontarf Station - DCU (The Helix),,3,,,
4703_101158,7778021,111,Brides Glen - Kilbogget Pk,,3,,,
4703_101159,7778021,114,Ticknock - Blackrock,,3,,,
4703_101160,7778021,161,Rockbrook - Dundrum,,3,,,
4703_101161,7778021,197,"Airside Ind. Estate, stop 7210 - Ashbourne Retail Pk, stop 101001",,3,,,
4703_101162,7778021,220,DCU (The Helix) - Lady's Well Road,,3,,,
4703_101163,7778021,236,Blanchardstown - IBM Campus,,3,,,
4703_101164,7778021,238,Tyrrelstown - Mulhuddart,,3,,,
4703_101165,7778021,270,Dunboyne - Blanchardstown,,3,,,
4703_101166,7778021,33A,Dublin Airport - Balbriggan,,3,,,
4703_101167,7778021,33B,Swords - Portrane,,3,,,
4703_101168,7778021,33T,Skerries - Donabate,,3,,,
4703_101169,7778021,45A,Kilmacanogue - Dun Laoghaire,,3,,,
4703_101170,7778021,45B,Kilmacanogue - Dun Laoghaire,,3,,,
4703_101174,7778021,N2,Clontarf Station - Heuston Train Stn,,3,,,
4703_101175,7778021,N6,Finglas Village - Naomh Barróg GAA,,3,,,
4703_101176,7778021,S4,Liffey Valley - UCD,,3,,,
4703_101177,7778021,S6,The Square - Blackrock Station,,3,,,
4703_101178,7778021,S8,Kingswood Avenue - Dun Laoghaire Stn,,3,,,
4703_101179,7778021,W2,The Square - Liffey Valley SC,,3,,,
4703_101180,7778021,W4,The Square - Blanchardstown SC,,3,,,
4703_101181,7778021,W6,Community College - The Square,,3,,,
4703_101182,7778021,L51,Liffey Valley SC - Adamstown Station,,3,,,
4703_101183,7778021,L52,Blanchardstown SC - Adamstown Station,,3,,,
4703_101184,7778021,L55,Hollyville Lawn - Glenaulin,,3,,,
4703_101185,7778021,102A,Swords - Sutton,,3,,,
4703_101186,7778021,102C,Balgriffin - Sutton,,3,,,
4703_101187,7778021,102P,Swords - Portmarnock,,3,,,
4703_101188,7778021,102T,Swords - Sutton,,3,,,
4703_101190,7778021,220A,DCU (The Helix) - Lady's Well Road,,3,,,
4703_101191,7778021,220T,Collins Avenue West - Finglas Garda Stn,,3,,,
4703_101192,7778021,236A,Blanchardstown - IBM Campus,,3,,,
4703_101193,7778021,236T,Scoil Oilibheir - Tyrrelstown,,3,,,
4703_101194,7778021,270T,Castaheany Estate - Castleknock Community College,,3,,,
4703_101196,7778021,L26,Blackrock Station - Kilternan Village,,3,,,
4703_101197,7778021,L27,Dun Laoghaire Stn - Leopardstown Valley,,3,,,
4710_102330,7778020,2,Dublin Airport - Gorey - Wexford,,3,,,
4710_102331,7778020,4,Dublin Airport - Waterford,,3,,,
4710_102334,7778020,22,Dublin - Airport - Longford - Ballina,,3,,,
4710_102335,7778020,23,Dublin - Airport - Longford - Sligo,,3,,,
4710_102336,7778020,30,Dublin - Airport - Cavan - Donegal,,3,,,
4710_102337,7778020,32,Dublin Airport - Monaghan - Letterkenny,,3,,,
4710_102348,7778020,101,Dublin - Airport - Drogheda,,3,,,
4710_102349,7778020,103,Dublin - Ashbourne - Ratoath,,3,,,
4710_102350,7778020,B1,Rail Station - Millfield Centre,,3,,,
4710_102351,7778020,105,Blanchardstown - Ashbourne - Ashbourne - Drogheda,,3,,,
4710_102354,7778020,109,Dublin - Navan - Kells - Cavan,,3,,,
4710_102355,7778020,111,Wilton Tce - Trim - Granard - Cavan,,3,,,
4710_102356,7778020,115,Dublin - Mullingar,,3,,,
4710_102358,7778020,132,Dublin - Carnew - Bunclody,,3,,,
4710_102359,7778020,133,Dublin - Wicklow,,3,,,
4710_102508,7778020,100X,Wilton Tce - Airport - Dundalk,,3,,,
4710_102509,7778020,109A,DCU - Airport - Ratoath - Navan,,3,,,
4710_102510,7778020,115C,Enfield - Killucan - Mullingar,,3,,,
4710_102538,7778020,103X,Dublin - Ashbourne - Duleek - Navan,,3,,,
4710_102539,7778020,105X,UCD - M3 - Ratoath - Ashbourne,,3,,,
4710_102542,7778020,101X,Wilton Tce - Drogheda - Termon Abbey,,3,,,
4710_102543,7778020,109B,Dublin - Dunshaughlin - Trim,,3,,,
4710_102544,7778020,245X,Busaras - Fermoy - Cork,,3,,,
4710_102545,7778020,109X,Dublin - Kells - Cavan Hourly Express,,3,,,
4710_102547,7778020,111X,Dublin express - Athboy - Clonmellon,,3,,,
4710_102553,7778020,NX,Dublin Wilton Terrace - Navan,,3,,,
4713_102643,7778312,SD3,Tallaght Luas - Ballinascorney,,3,,,
4713_102644,7778312,SD4,Tallaght Luas - Tibradden,,3,,,
4716_102658,7778170,192,Swords - Balbriggan,,3,,,
4716_102659,7778170,195,"Balbriggan, Bus Stop at Train Station - Garda Station",,3,,,
4716_102660,7778170,196,Knocksedan - Swords,,3,,,
